"title","idshop","price","detail","berat","gambar","category"
"Led Samsung 32"" HD Ready UA32J4005-UsbMovie-HDMI-DTV-NewModel","2546142","2689000"," Fitur 32 inchi LED TV Resolusi HD Ready 768p DVB T2 Digital TV CMR Refresh Rate 100 50 Hz USB Movie Daya 48W Power Adaptor 2x HDMI 1x USB 1x AUDIO Output 3 5mm Jack ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_c2ac1990-bb61-468e-9882-ebe72a064511_700_700.jpg","LED TV "
"Led Samsung 32"" HD Ready UA32FH4003R-Usb Movie-HDMI-Garansi Resmi","2546142","2499000"," Samsung 32 LED TV UA32FH4003 Hitam Samsung 32 LED TV UA32FH4003 Hitam menghadirkan pengalaman menonton yang menyenangkan dengan kualitas HD Berkat teknologi Direct LED mampu memberikan kontras yang luar biasa Dengan kualitas gambar yang tajam jernih dan kaya warna Anda akan semakin nyaman Ditambah dengan desain slim line bezel yang akan mengoptimalisasi pengalaman menonton Anda Dilengkapi dengan audio output sehingga Anda dapat menyambungkannya dengan speaker favorit Anda Juga dengan Triple Protector memberikan rasa aman menonton saat hujan dan listrik naik turun Desain Slim line Bezel Didesain dengan desain slim line bezel memberikan tampilan lebih ramping yang mengoptimalisasi pengalaman menonton Anda LED Backlight pada seri EH4000 secara otomatis menyesuaikan sesuai dengan sinyal video untuk menghadirkan kontras dan tingkat kecerahan yang optimal Teknologi Wide Colour Enhancer Plus Dengan menggunakan peningkatan kualitas algoritma teknologi Wide Colour Enhancer Plus dari Samsung akan meningkatkan kualitas gambar dan mengungkap detail gambar dengan lebih jelas Nikmati tontonan seindah warna aslinya Sambungkan Tonton Langsung dari USB Teknologi ConnectShare Movie dengan mudah membawa Anda menyaksikan acara favorit langsung dari USB Cukup sambungkan dan nikmati kemudahannya di ruang keluarga Anda Slot HDMI Slot HDMI yang sudah disematkan akan merubah ruang tamu Anda menjadi sebuah ruang hiburan multimedia Transmisinya cepat dan mampu membawa data digital dari berbagai perangkat elektronik Anda langsung ke TV ","7","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_e2ff8196-b96d-461d-a90e-86cacbe4a55c_700_700.jpg","LED TV "
"Led Samsung 24"" HD Ready UA24H4150AR-Usb Movie-HDMI-Bergaransi Resmi","2546142","1669000"," GARANSI RESMI DARI SAMSUNG SELAMA 1 TAHUNSPESIFIKASISeriesSeries4DisplayScreen Size24 Resolution1 366 x 768TAMPILKAN SPESIFIKASI LENGKAPVideoPicture EngineHyperReal EngineClear Motion Rate100Wide Color Enhancer Plus YesFilm ModeYesAudioDolby MS10 MS110Dolby Digital Plus Dolby AACDTS Studio Sound DNSe DTS Studio SoundDTS Premium Sound DTS Premium Sound 5 1DTS 2 0Auto Volume LevelerYesSound Output RMS 3W x 2Speaker TypeDown Firing Full RangeTuner BroadcastingDTV TunerReadyAnalog TunerYesMHP MHEG HbbTV ACAP GINGA OHTVNoKonektivitasHDMI2USB2Component In Y Pb Pr 1Composite In AV 1 Common Use for Component Y HeadphoneNoDigital Audio Out Optical NoRF In Terrestrial Cable input 1Ex Link RS 232C NoCI SlotNoScartNoDesignDesignWavy LineBezel TypeNNB 12mm Slim TypeSlim 1 49mm Front ColorBlackStand TypeT STANDAdditional FeatureDigital Clean ViewYesAuto Channel SearchYesAuto Power OffNoClock On Off TimerYesSleep TimerYesCaption Subtitle NoConnectShare USB 2 0 MovieSports ModeBasicScreen CaptureYesSound CaptureYesEmbeded POPYesEPGNoGame ModeNoOSD LanguageLocal LanguagePicture In PictureNoAnalog Clean ViewYesTriple ProtectorYesGUISingle LiteEco FeatureMercury Content0 0 mgLead PresenceYesPower ","5","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/10/1/0/0_6e5f9bac-b1b4-4d4f-a71d-c9d2be34ce2a_700_593.jpg","LED TV "
"Showcase GEA 2Pintu EXPO-1050AH/CN-1050Ltr-Bergaransi Resmi","2546142","12999000"," GEA SHOWCASE 2 PINTUDISPLAY COOLERLEMASI PENDINGI MINUMANMODEL EXPO 1050 AH CN Dimensi P91210xL680xT2180Refrigerant R 134aKapasitas 1050 LiterRak 5 x 2Daya Listrik 630 WattBerat Unit 180 KgFeaturesCfc FreeTemp 4 8 cLampu Interior Vrtikal LedNight ThermostartSuhu Bisa Diatur BerbedaPada Siang Malam HariKaca 2 Lapis Low eFrame Pintu KokohTerbuat Dari Alumunium ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_c50659ca-68a2-442b-8495-5110306d4f8e_300_513.jpg","Kulkas & Cooler Box "
"Showcase GEA 2 Pintu EXPO-800AH/CN-800Ltr-Murah-Bergaransi","2546142","11589000"," ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_91130b06-fb30-4227-84ec-a973362212b0_700_700.jpg","Kulkas & Cooler Box "
"Showcase GEA 2 Pintu EXPO-600AH/CN-575Ltr-Murah-Bergaransi Resmi","2546142","9499000"," GEA EXPO 600AH CN Display Cooler Showcase Silver 575 Liter GEA EXPO 600AH CN Display Cooler Showcase Silver 575 Liter merupakan display cooler 2 pintu yang cocok untuk menyimpan minuman agar terlihat lebih rapi dan menarik GEA Display Cooler Showcase EXPO 600AH CN memiliki kapasitas yang besar yakni 575 L sehingga memungkinkan Anda untuk menyimpan minuman dalam kapasitas besar Anda tidak perlu khawatir akan konsumsi listrik dari Showcase ini karena produk ini hemat energi dan menggunakan daya listrik 450 Watt Fitur Produk Showcase Lampu Interior vertikal LED Night Thermostat suhu bisa diatur berbeda pada siang malam hari untuk menghemat energi Kaca 2 Lapis Low E Frame Pintu Kokoh terbuat dari aluminium Kanopi datar dengan lampu ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_87632c38-7901-48e1-8817-8fe22b1426cb_700_700.jpg","Kulkas & Cooler Box "
"Showcase GEA EXPO-37 -282Ltr-NewModel-Bergaransi Resmi","2546142","3969000"," GEA Display Cooler EXPO 37FCFeatures CFC FreeVertical LightingFan Cooling SystemAnti Condesation Air Blow SystemDouble Layer Glass door Normal Tempered Self Evaporated Defrost SystemCastor WheelAdjustable ShelvesDoor LockSPESIFIKASI Temp oC 2 8 Dimensi PxLxT cm 54x62x174Volume L 282Daya 220 W ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_5d85b0c6-d93c-48f3-851c-8c1ae619cb4d_471_751.jpg","Kulkas & Cooler Box "
"Showcase RSA AGATE 300-282Ltr-Bergarasi Resmi","2546142","3179000"," RSA GEA AGATE 300 Showcase Cooler merupakan lemari pendingin yang dapat digunakan untuk menyimpan berbagai minuman agar terlihat rapi dan tetap dingin saat disajikan Lemari pendingin ini menggunakan freon R 600a yang ramah lingkungan dan kipas pendingin besar untuk pendinginan yang lebih merata Fitur Lemari pendinginBerfungsi untuk menyimpan berbagai minuman agar terlihat rapi dan tetap dingin saat disajikanRoda kaki dan rak bisa diaturHandle pintu dengan design baruLampu vertikal internal daya tarik produk1 Pintu 5 Rak Volume 280L Berat 62 kg Watt 180 watt Dimensi mm 540 x 615 x 1740 Refrigerant R 600 a ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_0e7978d9-52ea-4199-a637-ea64dc2fbffc_551_402.jpg","Kulkas & Cooler Box "
"Showcase RSA AGATE 240-222Ltr-Bergaransi Resmi","2546142","2849000"," RSA AGATE 240 4 RAK SHOWCASE SPESIFIKASI Volume L 222 Temp oC 2 8 Daya 180 W Refrigerant R600 Rak 4 Dimensi mm 540 x 575 x 1560 mm ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_7d15209f-464e-4931-8d18-a8c5464b772a_551_402.jpg","Kulkas & Cooler Box "
"Showcase RSA AGATE 200-192Ltr-Bergaransi Resmi","2546142","2649000"," RSA AGATE 200 Showcase Cooler merupakan lemari pendingin yang dapat digunakan untuk menyimpan berbagai minuman agar terlihat rapi dan tetap dingin saat disajikan Lemari pendingin ini menggunakan freon R 600a yang ramah lingkungan dan kipas pendingin besar untuk pendinginan yang lebih merata Fitur Kipas pendingin besar agar pendinginan merataLampu vertikal internal daya tarik produkThermostat analogR 600a ramah lingkunganFrame pintu putihRoda kaki dan rak bisa diaturHandle pintu dengan design baru Bergaransi Resmi 1 tahun ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_7d49b1de-31a2-4385-ab05-e85578d93365_700_700.jpg","Kulkas & Cooler Box "
